date,Open,High,Low,price,volume,market_cap,increase_volume,increase_market_cap,increase_price,MA7_volume,MA7_market_cap,MA7_price,MA30_volume,MA30_market_cap,MA30_price,volume_lag_7,market_cap_lag_7,price_lag_7,volume_lag_30,market_cap_lag_30,price_lag_30,label,DFF,NFINCP,FINCP,DPRIME,DPCREDIT,DTWEXBGS,CPIAUCSL,DGS3MO,DGS1,DGS30,negative,neutral,positive,increase_negative,increase_neutral,increase_positive,MA7_negative,MA7_neutral,MA7_positive,MA30_negative,MA30_neutral,MA30_positive
2024-08-29,59076.95,61106.97,58821.98,59348.98,110310423675.44948,1178040523912.0732,-0.11887827321672925,0.006836554083540856,0.0053245001029056955,110859593465.62035,1225775326803.4373,61874.24285714286,111986352592.55914,1190301983544.951,60137.092333333334,109925654743.1324,1197426375299.5957,60386.02,114280185390.73868,1308166869764.3484,66244.03,1.0,5.33,279.056695313,625.966625,8.5,5.5,122.4706,314.121,5.22,4.38,4.15,0.7638917565345764,0.2220087796449661,0.0140994237735867,-0.2072069447212668,5.59557986236888,4.045039614055966,0.3781318222061687,0.4618315755611374,0.16003658868416787,0.2121664726415867,0.5448005471874777,0.24303297517863073
2024-08-30,59295.05,59763.02,57944.0,59158.0,106977637878.67249,1166363249388.6794,-0.030212791191724275,-0.009912455714694386,-0.0032179154553288562,110473378425.24988,1218271689471.4539,61185.39,112061451948.65532,1185832865400.5188,59953.493,109681143161.26572,1218888710712.563,63979.97,104724657195.78746,1300436793721.6443,64665.98,1.0,5.33,279.056695313,625.966625,8.5,5.5,122.5582,314.121,5.21,4.38,4.2,0.2138898892824173,0.47719652116622613,0.308913569300152,-0.7199997415173889,1.1494488728299543,20.909659164855974,0.3924695002274225,0.41302156279530705,0.19450891947134646,0.2147894239469819,0.5362239746132654,0.2489865956571011
2024-08-31,59115.46,59382.99,58800.05,58965.98,102719941863.68292,1166833451801.5227,-0.03979986938782835,0.0004031354838123601,-0.003245883904121113,107164573263.76256,1204331872164.4275,60450.81857142858,111621606221.45673,1182544763973.6943,59738.698,125881577994.09409,1264412172950.7073,64107.98,115915313679.64111,1265476494606.2578,65409.83,1.0,5.33,279.056695313,625.966625,8.5,5.5,122.66995,314.121,5.205,4.3725,4.1825,0.35861303589869437,0.48828328121453524,0.15310369045861683,0.6766245337814288,0.02323311163546215,-0.5043801707853903,0.44030730157504777,0.4001484288049256,0.1595442512333653,0.22546239890126257,0.5247327879226157,0.24980480729107554
2024-09-01,58972.96,59038.16,57268.97,57341.08,99808533702.47038,1149971682521.6794,-0.02834316402822927,-0.014450879218289187,-0.02755656736307955,107905865099.12444,1187854100108.4983,59459.68285714286,110725948821.61978,1178888554105.0247,59600.498999999996,94619490854.93729,1265316086913.1846,64279.03,126678255697.5784,1259657978581.77,61487.05,1.0,5.33,279.056695313,625.966625,8.5,5.5,122.7817,314.686,5.2,4.365,4.165,0.41969220868598384,0.34731495813824803,0.23299282631621906,0.17032055913478814,-0.2887019246811985,0.521797584488637,0.49808868372933224,0.3642301702291825,0.13768112645314487,0.2341636159901892,0.515649882270699,0.25018649513517605
2024-09-02,57333.38,59350.72,57297.96,59127.62,111999098228.25436,1149670462101.474,0.12213950123868265,-0.0002619372500936723,0.03115637166234052,109448055866.39622,1172563177853.4968,58925.622857142866,110208969063.77866,1176882663983.5083,59546.085333333336,101203762857.35191,1256706917886.4844,62866.04,127508490963.4878,1209847165746.9585,60760.03,1.0,5.33,279.056695313,625.966625,8.5,5.5,122.89345,314.686,5.195,4.3575,4.1475,0.043179419590160195,0.3973407330340706,0.55947983590886,-0.8971164613101805,0.1440357627093904,1.4012749437595604,0.45019948383425756,0.3476228927042367,0.20217760093783618,0.23244622423042838,0.5122505605542046,0.25530320846332505
2024-09-03,59105.91,59764.0,57544.01,57544.01,110839951228.43204,1157513796045.655,-0.010349610114359876,0.006822245332670491,-0.026782914651393045,109692679761.25635,1162633519697.015,58645.76000000001,110805494310.28041,1176007198129.3699,59528.39066666667,109127583964.41116,1227021403141.0278,59503.05,92944193833.3798,1183777771669.8118,58074.85,1.0,5.33,279.056695313,625.966625,8.5,5.5,123.0052,314.686,5.19,4.35,4.13,0.5731567924376577,0.358129777812532,0.06871345176893683,12.273841980225916,-0.09868345216491145,-0.8771833275147196,0.47656686674569065,0.3319906125366644,0.1914425011067343,0.24487763331466647,0.5000394999078154,0.2550828609286373
2024-09-04,57644.03,58489.96,55737.91,57984.05,119214510126.47386,1129078127994.1116,0.07555541846804449,-0.02456615908051077,0.00764701660520358,108838585243.34793,1156781613395.0278,58495.67428571429,107706118614.10585,1178506165534.9866,59660.992333333335,125193171751.83276,1170041472108.021,59034.65,212195781011.7108,1054109105825.6096,54006.0,1.0,5.33,279.056695313,625.966625,8.5,5.5,122.7434,314.686,5.18,4.23,4.06,0.30888713375177407,0.4626639535029729,0.22844891916472637,-0.46107742623433756,0.29188909207421654,2.3246607947004763,0.3830443194544663,0.3932768577876501,0.22367881667015682,0.2550055618620651,0.4871023317931003,0.2578921010126162
2024-09-05,58006.56,58284.98,55835.0,56170.04,115814349011.1324,1121929134241.61,-0.028521369686745793,-0.006331708652617482,-0.03128463775814214,109624860291.30263,1148765700584.9617,58041.54,105564271325.1689,1179161205844.819,59667.259,110310423675.44948,1178040523912.0732,59348.98,180069767679.24042,1102277924946.6377,55982.04,1.0,5.33,269.778253906,629.628234375,8.5,5.5,122.6747,314.686,5.15,4.21,4.02,0.18825948634184891,0.3588421650230884,0.45289833201095464,-0.3905233796719522,-0.22439999419409573,0.9824927763584025,0.3008111379983624,0.41282448427023904,0.28636437498978085,0.25490153694922646,0.48414689402484956,0.26095156294069244
2024-09-06,56209.17,56896.3,52738.0,53922.68,120787253459.05226,1091996852510.7632,0.04293858654286311,-0.026679298020975482,-0.04000994124269808,111597662517.07118,1138141929602.4023,57293.637142857144,105739091612.55891,1178510519948.0784,59630.54466666667,106977637878.67249,1166363249388.6794,59158.0,115542644837.35191,1111517429412.983,55024.11,1.0,5.33,269.778253906,629.628234375,8.5,5.5,122.7145,314.686,5.13,4.1,4.03,0.05042213608976447,0.5033864049861828,0.4461914661029975,-0.7321668242618807,0.40280728981164804,-0.014808767076216424,0.2774586018279834,0.41656589624451856,0.30597550310447297,0.256310576576211,0.4853853125402072,0.2583041046340752
2024-09-07,53976.04,54810.03,53767.28,54188.32,121445897017.69336,1071141347783.9268,0.005452922719733692,-0.01909850259997051,0.004926313009664939,114272798967.64412,1124471629028.4602,56611.114285714284,105951196909.85426,1175939313887.2444,59375.55766666667,102719941863.68292,1166833451801.5227,58965.98,115082738098.83276,1148277529608.9478,61837.93,1.0,5.33,269.778253906,629.628234375,8.5,5.5,122.78993333333334,314.686,5.123333333333333,4.1066666666666665,4.0200000000000005,0.0299579370766878,0.956218123435974,0.013823919929564,-0.4058574388170524,0.8995708147148327,-0.9690179643050973,0.2305078734248396,0.48341373084758127,0.2860783930288941,0.25572223506101016,0.49298697476871206,0.251290783653016
2024-09-08,54116.16,55228.47,53694.23,54823.96,77973295408.60278,1073878187187.4844,-0.3579585863057777,0.0025550683943065364,0.011730203113881357,111153479211.3773,1113601129695.0037,56251.525714285715,104570955504.72304,1171800174417.1619,59174.73933333333,99808533702.47038,1149971682521.6794,57341.08,119380537562.54008,1198052371289.9585,60848.51,1.0,5.33,269.778253906,629.628234375,8.5,5.5,122.86536666666666,314.686,5.116666666666667,4.113333333333333,4.01,0.00461279880255455,0.4071262385696172,0.5882610026746988,-0.8460241507702455,-0.5742328778430884,41.553849101558875,0.17121081487006398,0.491958199480634,0.336830989651534,0.24821076118706953,0.49998102695345775,0.25180820701083056
2024-09-09,54777.01,57869.99,54624.95,57031.98,95723896724.91228,1099907178125.361,0.22764975140900703,0.02423830863540243,0.04027472659764096,108828450425.18556,1106492089126.9875,55952.148571428566,104589938437.6605,1168516281558.5427,59046.60600000001,111999098228.25436,1149670462101.474,59127.62,95154408736.78746,1198423963883.9304,60875.98,1.0,5.33,269.778253906,629.628234375,8.5,5.5,122.9408,314.686,5.11,4.12,4.0,0.1349856919259764,0.31493498361669475,0.550079332664609,28.263294954729403,-0.2264439041728775,-0.06490600232972417,0.18432599663232344,0.480185949563866,0.335488060616641,0.24566464248989212,0.4850631088993812,0.2692722445582359
2024-09-10,56964.02,57984.81,56487.58,57627.99,103703769724.7317,1128119592931.965,0.08336343664269838,0.025649814245860405,0.010450452535577316,107808995924.65695,1102292917253.6033,55964.14571428572,105400239368.24763,1166372116690.8901,59006.87266666667,110839951228.43204,1157513796045.655,57544.01,79394741807.11847,1192444538961.5437,58819.99,1.0,5.33,269.778253906,629.628234375,8.5,5.5,123.2266,314.686,5.06,4.07,3.97,0.12642033427255223,0.7576151341199875,0.11596451466903086,-0.06345381892861097,1.405623933611884,-0.7891858359642535,0.12050650260873695,0.5372552861792167,0.34223821245951164,0.2406326902195596,0.49420265890063825,0.2651646455215196
2024-09-11,57600.01,57960.58,55588.99,57364.02,108220528609.446,1124141546458.115,0.04355443294591362,-0.0035262630830754545,-0.004580586621188786,106238427136.51012,1101587691319.8894,55875.57,105670727532.9734,1165035832296.7666,58940.93933333333,119214510126.47386,1129078127994.1116,57984.05,100105883667.67249,1164230078281.8257,59342.02,1.0,5.33,269.778253906,629.628234375,8.5,5.5,123.0007,314.686,5.1,4.12,3.96,0.20455186525941824,0.7362241335213184,0.059223989490419585,0.6180297769061472,-0.028234653236588126,-0.4892921368278208,0.10560146425268613,0.5763353118961233,0.31806322250603924,0.2473946401606487,0.5069702307323811,0.24563512537559173
2024-09-12,57371.99,58514.55,57371.99,58116.05,112051169145.18466,1146172572942.6272,0.03539661638100986,0.01959808936332474,0.013109785541529449,105700830012.8033,1105051039705.749,56153.57142857143,105949230890.69385,1163962192076.3845,58859.30733333333,115814349011.1324,1121929134241.61,56170.04,103696068413.57144,1178381779554.0872,60565.01,1.0,5.33,265.479347656,588.59425,8.5,5.5,122.684,314.686,5.06,4.09,4.0,0.16723735426785422,0.607435991987586,0.22532665015508727,-0.18242078088234856,-0.17493061646559455,2.8046516638589063,0.10259830252782974,0.6118487157481943,0.2855529822409153,0.24114934662062232,0.5097503220603067,0.24910032714596111
2024-09-13,58153.97,60593.91,57688.82,60575.47,101420595997.81184,1159355964877.5889,-0.094872487529325,0.01150210033478229,0.04231911838468028,102934164661.19753,1114673770043.867,57103.97000000001,105988393486.11395,1163047229809.1985,58920.792,120787253459.05226,1091996852510.7632,53922.68,100245718135.20906,1186804832893.1743,58730.93,1.0,5.33,265.479347656,588.59425,8.5,5.5,121.9128,314.686,4.97,4.0,3.98,0.03403621194593136,0.4729805992101319,0.492983216419816,-0.7964796077112202,-0.22134907142644575,1.187860229051942,0.10025745622156787,0.6075050292087586,0.29223751800046077,0.22503334395826272,0.5111272138891473,0.2638394386580844
2024-09-14,60560.04,60590.1,59530.84,59987.93,100482054719.0662,1185546465171.9966,-0.009253951522488592,0.022590559834807122,-0.00969930567604347,99939330047.10791,1131017358242.1626,57932.485714285714,105885736874.39038,1164154649494.9167,59000.38966666667,121445897017.69336,1071141347783.9268,54188.32,103561753070.77351,1152323874600.446,57600.0,1.0,5.33,265.479347656,588.59425,8.5,5.5,121.86466666666666,314.686,4.966666666666667,3.986666666666667,3.966666666666667,0.09494507137375569,0.4508072209234039,0.45424770062478875,1.7895310889643607,-0.04688010105225688,-0.07857370089865447,0.10954133254972041,0.5353034717069628,0.3551552009569215,0.2271635356108844,0.49429986525909975,0.2785365962067214
2024-09-15,59999.98,60375.64,58855.95,59198.11,77829620369.19164,1184977871771.244,-0.22543761085705905,-0.0004796044840555408,-0.013166315290425919,99918805041.47775,1146888741754.1282,58557.364285714284,104933546914.88014,1165208811818.5198,59010.25666666667,77973295408.60278,1073878187187.4844,54823.96,106395319154.49826,1153353002063.1533,58902.1,1.0,5.33,265.479347656,588.59425,8.5,5.5,121.81653333333334,314.686,4.963333333333333,3.973333333333333,3.953333333333333,0.0023552377242594,0.2119827568531036,0.785662055015564,-0.9751936810391358,-0.5297707156977387,0.7295895035570591,0.10921882382424968,0.5074258314617466,0.38335535129133075,0.22533756945262348,0.47526024993264215,0.2994021802474029
2024-09-16,59191.96,59191.96,57549.78,58229.2,94703021874.56444,1152253111991.209,0.21679922663546786,-0.027616346734913814,-0.016367245508344834,99772965777.14235,1154366732306.3923,58728.39571428572,105152310589.97421,1164621220944.1472,58970.56233333333,95723896724.91228,1099907178125.361,57031.98,88140111621.74216,1169880838222.3833,59420.03,1.0,5.33,265.479347656,588.59425,8.5,5.5,121.7684,314.686,4.96,3.96,3.94,0.07855122012551868,0.6788244233466685,0.24262435299654797,32.35171618407181,2.2022624548517844,-0.6911848402914895,0.10115675642418429,0.5594100371374572,0.33943321133875065,0.2140466946353701,0.48692210957059634,0.29903119599196326
2024-09-17,58267.94,61259.99,57620.0,60303.5,101668766635.31708,1172633447284.5715,0.07355356379207068,0.017687377088653103,0.035623020752474754,99482251050.08311,1160725854356.7644,59110.611428571436,105852738525.71858,1164457596233.849,59029.814,103703769724.7317,1128119592931.965,57627.99,80655928562.98607,1177542188593.5122,58525.95,1.0,5.33,265.479347656,588.59425,8.5,5.5,121.8724,314.686,4.95,3.99,3.96,0.34464978754986075,0.27926150765269997,0.3760887035634369,3.3875803201928303,-0.5886101058710964,0.5500863739296106,0.13233239260665694,0.4910738047849875,0.37659380975223716,0.21190825607918198,0.47980810698394355,0.3082836379473831
